"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\preload\api\handle\index.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 57, 16, 99
"e:\MyDrive\server-monitor\src\preload\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\MyDrive\server-monitor\src\preload\api\on\index.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 81, 15, 145
"e:\MyDrive\server-monitor\src\preload\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"e:\MyDrive\server-monitor\src\preload\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 3, 24
"e:\MyDrive\server-monitor\src\preload\typings\common.d.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\MyDrive\server-monitor\src\preload\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\renderer\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 2, 10
"e:\MyDrive\server-monitor\src\renderer\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 2, 57
"e:\MyDrive\server-monitor\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 2, 19
"e:\MyDrive\server-monitor\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
